image_index,kpt_x,kpt_y,kpt_z,label
1,1.5478804419479233,24.91637227218974,568.8581320795699,l_eye
1,5.677691414641402,20.014548425588902,568.8057153699426,r_eye
1,-2.6228803269639442,22.19487039208983,570.8813873051217,f1
1,-11.113818664206212,20.625597091008586,563.8278240367172,f2
1,14.870552214952266,30.223588281935207,550.1449806699147,l_shoulder
1,-24.517456316729234,42.223100818362006,562.655284445809,r_shoulder
1,44.59879134504318,18.415283815310183,547.5871844465354,l_elbow
1,-47.382460019039925,66.25942405748488,557.0536676900123,r_elbow
1,69.12389434466563,-4.53570741560139,557.4414130490592,l_hand
1,-56.32855075630698,88.37711403577245,555.5186927229981,r_hand
1,-2.8506616998881444,80.0850158895081,537.4596862181382,mid1
1,-27.768015479947305,82.27398901679415,546.3961715996278,mid2
1,-3.675280634509318,117.48769729958681,533.2453265597787,l_knee
1,-57.37805943095631,111.10431431846142,537.6472243697013,r_knee
1,-30.292645065170756,146.46254814227302,522.276962210542,l_ankle
1,-68.04995005273281,91.8274901429476,531.7713232476212,r_ankle
2,10.272652029696472,26.78969419271182,569.0133403778772,l_eye
2,14.267399360453934,22.418336032990705,568.4162708248145,r_eye
2,6.686906381769217,24.342908601439955,571.0478112805984,f1
2,-2.768218752534971,23.261578853287638,562.9787764432557,f2
2,22.99202948805851,32.547083941891295,547.3092582957909,l_shoulder
2,-15.325462387805796,44.8577074761052,562.4041967683435,r_shoulder
2,39.550383817997975,48.87874494555432,532.4604370853231,l_elbow
2,-34.84191646174947,70.79830380766418,555.9238329478178,r_elbow
2,45.233271958251706,70.20125029103686,528.0466855931705,l_hand
2,-35.73146871585283,92.78802415129347,552.980940157048,r_hand
2,9.809986041718236,81.09483869721721,532.2259811812223,mid1
2,-13.227907947091442,86.8572009636797,545.4044139794128,mid2
2,-1.9217913031957354,114.45846455492585,520.3778644955024,l_knee
2,-7.844670454490199,120.1888029045281,546.8889971989751,r_knee
2,-41.73305013604853,122.30646340396058,517.6987168007535,l_ankle
2,-10.095811652446487,159.49654775483395,539.9758617352168,r_ankle
3,12.26391955700395,19.374070017643387,570.9186976345087,l_eye
3,16.24322104881718,14.735840116755469,570.4509062484342,r_eye
3,7.862742663881293,17.34824885131149,572.5049958859775,f1
3,-1.4604375966994254,16.116279831350752,564.2133116155258,f2
3,26.86520324166118,23.040974260187042,551.231749729912,l_shoulder
3,-10.44431634180801,40.177368257388366,565.2708219290403,r_shoulder
3,51.63268199251683,29.56371882578814,540.1133952763893,l_elbow
3,-22.13572069464853,68.23049801874109,559.1577729313248,r_elbow
3,77.65319725854908,35.07900165746172,539.7064286107452,l_hand
3,-17.492690014547453,89.97872994507689,557.6153171087882,r_hand
3,24.22593449713101,75.27654650339292,539.0964011985654,mid1
3,0.8635914168339078,81.03278113440791,552.2466476959445,mid2
3,28.23559926249074,113.84557799066164,529.9768844569021,l_knee
3,29.678490645625576,93.45156432255419,565.6876159597931,r_knee
3,5.281714917359038,144.85051749032812,515.41419493669,l_ankle
3,55.480387709664434,125.37851497151613,574.0956155291153,r_ankle
